server,client,model,task,runs,success_rate,success_rate_completed,step_limit_rate,vendor_unavailable_rate,client_error_rate,failure_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
treatment,google_adk,gemini-3.8-flash,o2c_06_payment_reversal,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.333,407101.333,1908.667,56.833,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,21.0,815445.0,5158.667,125.49,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_02_partial_receipt,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,30.667,1341479.333,6549.333,143.02,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_04_over_threshold,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,7.667,248100.0,2114.667,45.403,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_05_cancel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,6.667,224776.333,1048.667,41.103,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_06_price_variance_5pct,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,28.0,1308303.0,10344.333,175.92,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_07_variance_within_tolerance,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,22.0,840791.0,5376.333,97.09,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_08_reverse_wrong_grn,3,0.333,0.333,0.0,0.0,0.0,0.667,0.0,1.0,0.0,0.333,25.0,1035558.333,18095.667,141.157,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_09_partial_payment,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,25.667,990792.333,5542.0,96.357,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,close_01_clean,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,90716.0,212.667,11.4,1.0,closed=3
treatment,openai_agents_sdk,gpt-5.6-terra,close_02_blocked,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,34345.333,86.333,3.997,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,dup_01_retry_storm,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,13.0,319756.0,1137.667,37.993,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,gl_01_manual_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,92349.333,348.0,10.95,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,gl_02_reverse_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,120758.333,391.0,13.847,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,gl_03_closed_period,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,34341.0,97.0,4.027,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,o2c_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,11.333,240694.333,626.333,23.157,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,o2c_02_credit_limit,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,34986.667,139.333,5.22,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,o2c_03_partial_ship,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,10.667,206238.333,638.667,22.147,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,o2c_04_credit_note,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,13.333,307151.333,828.0,26.623,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,o2c_05_out_of_stock,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.333,82105.667,278.667,9.31,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,o2c_06_payment_reversal,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,131025.667,431.667,14.683,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,p2p_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,11.667,263077.333,836.0,28.433,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,p2p_02_partial_receipt,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.917,0.0,,12.667,263823.667,885.667,26.663,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,p2p_04_over_threshold,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,75726.0,291.0,8.85,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,p2p_05_cancel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,117314.0,357.0,13.537,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,p2p_06_price_variance_5pct,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,7.333,182448.667,727.667,21.7,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,p2p_07_variance_within_tolerance,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,11.667,267197.0,890.667,28.267,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,p2p_08_reverse_wrong_grn,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,260435.667,712.667,27.82,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,p2p_09_partial_payment,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,11.0,263242.0,826.0,28.757,1.0,
